Actual,Predicted,Model
6.301,6.172205927600735,Ridge
10.0,8.895605467644392,Ridge
10.0,10.005687868328161,Ridge
10.0,9.68329838750245,Ridge
10.0,10.587383566786896,Ridge
4.231,5.150829407696884,Ridge
6.191,6.493813658169403,Ridge
10.0,9.162062251580807,Ridge
5.282,5.865080246178715,Ridge
10.0,8.99976841724728,Ridge
5.926,5.5515092817482925,Ridge
4.253,4.897581705678161,Ridge
4.138,3.9921480737260273,Ridge
4.682,4.792925863286127,Ridge
5.508,6.81252269019883,Ridge
5.947,4.83605980097047,Ridge
5.429,5.99614800032863,Ridge
6.028,5.737764068763472,Ridge
10.0,10.630717649514285,Ridge
4.929,5.510017412803488,Ridge
4.798,5.341360476212919,Ridge
6.301,5.639,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.231,3.855,DecisionTreeRegressor
6.191,6.988,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.282,5.274,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.926,6.2955,DecisionTreeRegressor
4.253,5.502,DecisionTreeRegressor
4.138,4.8165,DecisionTreeRegressor
4.682,5.063000000000001,DecisionTreeRegressor
5.508,5.27,DecisionTreeRegressor
5.947,4.888,DecisionTreeRegressor
5.429,4.157,DecisionTreeRegressor
6.028,5.6240000000000006,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.929,5.218999999999999,DecisionTreeRegressor
4.798,5.6240000000000006,DecisionTreeRegressor
6.301,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
4.231,9.905538452971106,GradientBoostingRegressor
6.191,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
5.282,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
5.926,9.905538452971106,GradientBoostingRegressor
4.253,9.905538452971106,GradientBoostingRegressor
4.138,9.905538452971106,GradientBoostingRegressor
4.682,9.905538452971106,GradientBoostingRegressor
5.508,9.905538452971106,GradientBoostingRegressor
5.947,9.905538452971106,GradientBoostingRegressor
5.429,9.905538452971106,GradientBoostingRegressor
6.028,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
4.929,9.905538452971106,GradientBoostingRegressor
4.798,9.905538452971106,GradientBoostingRegressor
6.301,5.517,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
4.231,6.176,RandomForestRegressor
6.191,5.421,RandomForestRegressor
10.0,10.0,RandomForestRegressor
5.282,5.031,RandomForestRegressor
10.0,10.0,RandomForestRegressor
5.926,5.312,RandomForestRegressor
4.253,4.316,RandomForestRegressor
4.138,4.783,RandomForestRegressor
4.682,5.45,RandomForestRegressor
5.508,5.468,RandomForestRegressor
5.947,4.497,RandomForestRegressor
5.429,6.176,RandomForestRegressor
6.028,6.199,RandomForestRegressor
10.0,10.0,RandomForestRegressor
4.929,5.708,RandomForestRegressor
4.798,6.176,RandomForestRegressor
6.301,5.894170731707319,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.231,5.39175,AdaBoostRegressor
6.191,5.894170731707319,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.282,5.39175,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.926,5.894170731707319,AdaBoostRegressor
4.253,4.474000000000001,AdaBoostRegressor
4.138,5.39175,AdaBoostRegressor
4.682,4.474000000000001,AdaBoostRegressor
5.508,5.314592592592593,AdaBoostRegressor
5.947,5.39175,AdaBoostRegressor
5.429,5.39175,AdaBoostRegressor
6.028,5.314592592592593,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.929,5.39175,AdaBoostRegressor
4.798,5.39175,AdaBoostRegressor
