id,OF2,OF3,OF4,OF5,OF6,OF7,OF8,OF9,OF10,OF11,OF13,OF14,OF15,OF16,OF17,OF18,OF19,OF20,OF21,OF22,OF23,OF24,OF25,OF26,OF27,OF28,OF30,OF31,OF33,OF34,OF37,OF38,F1,F2,F3_a,F3_b,F3_c,F3_d,F3_e,F3_f,F3_g,F4,F5,F6,F7,F8,F9,F10,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F62,F63,F64,F65,F66b,F67,F68,S1,S2,S4,S5,WS,WS_Benefit,SFST,SFST_Benefit,SR,SR_Benefit,PR,PR_Benefit,NR,NR_Benefit,Provincial_Class,Federal_Class,Regime,Vegetation_Type,Vegetation_Cover,Woody_Canopy_Cover,Moss_Cover,Phragmites,Soil_Type,Surface_Water_Present,Saturation_Depth,Living_Moss_Depth,Organic_Depth,Hydrogeomorphic_Class
213,4,5,5,6,0,0,4,1,1,5,4,4,2,5,1,0.07,0.0,4,4,2,1,3,1,4,2272,1,0,1,1.0,0.0,0.0,4,3,0,0,2,0,4,0,2,2,2,80,1,3,0,0,0,2,3,1,1,2,4,1,1,3,1,2,4,5,4,2,1,2,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0.0,2,1,1,5,0,0,5,1,4,1,1,3,3,5,0.0,0,0.0,0.0,0.0,0.0,0.333333333,0.0,0.0,0.0,2.094,10.0,3.815,5.702,4.12,4.094,4.748,7.164,6.176,10.0,0,0,0.0,0.0,0.0,3,1,0.0,1,4.0,0.0,0.0,0.0,0.0
258,4,5,5,4,3,0,4,4,3,1,5,2,3,5,1,0.22,0.0,4,4,2,1,3,3,4,2272,2,0,0,0.0,0.0,1.0,4,4,3,0,0,0,0,2,0,5,1,0,4,4,1,2,2,2,1,1,2,2,2,1,1,1,2,1,4,3,1,2,3,2,5,1,5,2,1,3,1,0,1,3,0,1,2,0,0.0,1,1,2,4,2,4,5,1,4,3,2,3,2,5,0.0,2,0.0,0.0,0.0,0.0,0.333333333,0.0,0.0,0.0,1.098,10.0,4.198,4.893,3.422,1.124,4.517,2.64,4.88,4.028,5,9,0.0,0.0,0.0,0,1,0.0,1,4.0,0.0,0.0,0.0,0.0
220,4,5,5,6,1,0,5,1,1,5,6,3,2,5,4,0.13,0.0,4,4,1,1,2,2,4,2314,2,0,1,1.0,1.0,0.8,3,4,0,0,0,0,0,0,2,5,1,0,4,4,2,4,1,1,2,3,1,1,1,1,3,1,3,1,4,2,3,2,3,1,4,0,0,0,0,0,0,0,0,0,1,1,1,2,0.0,2,1,1,5,0,0,5,1,4,2,0,5,2,3,0.0,0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,1.395,1.575,4.537,6.614,3.431,4.462,6.606,7.808,5.678,10.0,2,3,0.0,0.0,0.0,0,3,0.0,2,4.0,0.0,4.0,126.0,0.0
468,1,5,6,2,3,1,4,2,1,3,4,6,6,2,2,0.0356,0.0,4,4,2,2,3,3,6,2180,0,0,0,0.8571428571428572,0.8571428571428572,0.6,4,2,3,0,0,3,0,1,4,0,3,224,1,1,0,0,0,1,2,4,0,1,1,1,2,3,3,1,2,5,5,1,1,1,5,0,0,0,0,0,0,0,0,0,0,2,1,4,0.0,3,3,2,4,1,2,5,6,4,1,1,4,2,7,0.0,1,0.0,0.0,0.8333333333333334,0.0,0.666666667,0.0,0.0,0.0,3.726,4.071,3.924,2.268,3.066,1.062,7.084,1.939,4.226,10.0,1,2,0.0,3.0,1.0,2,2,0.0,2,0.0,2.0,5.0,80.7,4.0
501,2,4,4,6,2,1,4,1,3,5,6,4,6,2,2,0.08,0.0,4,4,1,3,1,2,4,2062,2,0,0,0.7142857142857143,0.7142857142857143,0.3999999999999999,4,3,0,0,1,0,4,0,2,1,1,80,3,1,0,0,0,1,5,1,1,1,3,1,1,2,1,3,2,4,5,3,2,2,1,0,0,0,0,0,0,0,0,0,1,1,2,4,0.0,3,3,2,4,1,2,5,1,4,1,1,5,2,7,0.0,0,0.0,0.0,0.6666666666666667,0.0,0.333333333,0.0,0.0,0.0,3.019,6.66,4.648,6.771,4.145,5.14,4.586,8.217,4.514,7.5,0,0,1.0,0.0,1.0,0,1,0.0,1,0.0,2.0,0.0,9.0,9.0
275,1,5,5,3,2,0,3,4,3,5,6,6,6,2,2,0.49,0.0,4,4,2,1,3,1,4,1846,2,0,0,0.5714285714285714,0.5714285714285714,0.19999999999999996,3,4,3,0,0,1,3,0,1,5,2,104,3,3,3,3,1,1,4,1,2,2,2,2,2,3,3,2,3,2,2,2,2,3,4,1,5,3,3,3,1,0,0,1,1,1,2,3,0.0,2,3,1,5,0,0,3,6,4,1,1,6,1,7,0.0,1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2.648,1.85,5.49,6.072,4.492,3.894,5.072,5.981,5.283,4.167,2,3,2.0,1.0,0.0,0,1,1.0,0,2.0,2.0,0.0,61.7,4.0
349,3,3,4,7,1,3,3,4,3,6,7,3,5,2,4,0.3008,0.0,4,4,3,1,2,1,4,1936,2,0,0,0.4285714285714286,0.4285714285714286,0.0,3,4,3,1,0,0,2,0,2,5,1,192,4,4,1,2,1,1,2,1,1,2,2,2,2,3,4,3,3,4,1,2,2,3,4,1,5,4,1,1,1,0,1,3,1,1,1,1,0.0,1,3,1,1,2,2,5,1,4,1,1,6,1,7,0.0,1,6.83,0.0,0.33333333333333337,0.0,0.5,0.0,0.0,0.0,3.121,2.602,5.597,7.392,5.159,4.458,6.746,7.047,5.585,5.972,2,3,2.0,1.0,0.5,0,1,0.0,0,2.0,2.0,0.5,26.7,9.0
355,1,4,5,6,3,3,4,5,3,6,7,4,6,2,2,0.51,0.0,4,4,2,1,2,2,4,1657,2,0,0,0.2857142857142858,0.2857142857142858,0.0,3,3,0,0,0,0,4,0,2,3,0,64,3,3,1,1,1,1,5,2,1,1,4,1,1,1,3,2,3,4,5,2,2,2,1,0,0,0,0,0,0,0,0,0,1,1,2,2,0.0,3,3,1,5,0,0,5,1,4,1,1,6,1,7,0.0,1,7.09,0.0,0.16666666666666674,0.0,0.0,0.0,0.0,0.0,2.417,3.15,6.037,6.317,3.75,4.122,6.093,6.381,4.404,5.417,0,1,2.0,0.0,1.0,0,0,0.0,2,2.0,2.0,1.0,32.0,0.0
169,3,5,7,1,0,0,4,4,3,5,7,6,6,5,4,0.43,0.0,4,4,2,1,3,3,4,1342,0,0,0,0.1428571428571429,0.1428571428571429,0.0,4,3,0,5,2,1,1,1,1,0,2,63,3,1,0,0,0,1,2,2,3,2,4,2,1,2,3,4,2,3,5,2,2,2,2,0,0,0,0,0,0,0,0,0,1,1,2,5,0.0,2,3,2,5,0,0,5,1,4,1,1,6,1,7,0.0,0,7.35,380.0,0.0,0.0,0.0,0.0,0.0,0.0,3.323,1.075,7.028,3.235,3.995,3.922,4.94,6.031,5.031,4.167,3,1,1.0,2.0,1.0,1,0,0.0,2,0.0,2.0,0.3,40.0,2.0
102,4,5,7,1,0,0,5,4,3,1,5,2,4,5,4,0.52,0.0,4,4,2,1,3,3,4,1985,0,0,0,0.0,0.0,0.0,2,3,0,4,3,1,1,1,1,0,3,63,3,1,0,0,0,1,1,2,2,2,3,2,1,2,1,3,2,3,5,2,2,1,2,0,0,0,0,0,0,0,0,0,1,2,2,4,1.0,3,3,2,4,2,2,5,1,4,1,1,6,1,7,0.0,1,6.56,81.0,0.0,0.0,0.0,0.0,0.0,0.0,4.865,2.04,2.934,2.597,3.788,3.985,4.394,6.236,5.282,4.444,3,0,1.0,2.0,1.0,1,0,0.0,1,0.0,2.0,0.0,18.3,7.0
375,4,4,6,4,2,0,5,2,3,5,6,6,6,2,2,0.08,0.0,4,4,2,1,2,2,3,1757,2,0,0,0.5,0.0,0.0,3,3,0,0,0,0,4,0,2,3,2,64,3,3,3,1,2,1,5,1,1,2,4,1,1,3,2,2,2,5,5,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,2,3,1.0,3,3,1,5,0,0,5,1,4,1,1,6,1,7,0.0,1,6.705,63.0,0.0,0.0,0.0,0.0,0.0,0.0,1.931,2.075,4.481,7.039,3.009,4.327,5.355,6.739,4.316,5.417,0,0,2.0,0.0,1.0,0,1,0.0,1,2.0,2.0,0.0,21.0,4.0
136,5,5,7,1,3,0,4,4,3,4,1,1,4,2,4,0.59,0.0,4,4,2,1,3,3,4,1985,0,0,0,1.0,0.0,0.0,1,2,3,1,0,1,0,1,4,2,2,160,4,2,2,1,2,1,2,4,1,2,1,1,1,1,4,4,2,1,5,2,2,2,2,1,4,5,5,3,1,1,0,2,1,1,2,5,0.0,1,3,1,5,0,0,5,1,4,1,2,6,1,7,0.0,1,6.85,45.0,0.0,0.0,0.0,0.0,0.0,0.0,3.423,1.475,6.212,2.27,5.577,3.846,4.821,5.897,4.953,4.167,1,5,1.0,1.0,0.0,0,2,0.0,2,5.0,2.0,0.0,42.7,8.0
288,4,5,6,6,1,0,3,5,3,5,7,6,6,1,4,0.38,0.0,4,4,1,3,3,1,4,1833,2,0,0,1.0,0.0,0.0,3,4,3,0,0,2,1,0,1,5,1,224,3,4,2,4,1,1,1,1,3,2,1,2,3,3,4,2,5,2,2,1,2,3,5,1,5,3,5,1,0,0,0,1,0,1,2,5,0.0,1,3,1,2,2,1,5,2,4,3,1,6,1,7,0.0,1,6.64,62.5,0.0,0.0,0.666666667,0.0,0.0,0.0,2.417,3.76,5.51,6.335,4.278,1.404,5.864,2.407,5.108,3.75,2,3,2.0,1.0,1.0,0,1,1.0,0,3.0,2.0,0.0,21.0,4.0
524,3,5,7,1,3,0,4,5,3,5,7,4,6,5,4,0.07,0.0,4,4,2,1,3,1,4,1426,0,0,0,1.0,0.0,0.0,1,4,0,1,0,0,1,0,3,3,1,40,4,3,1,2,1,1,1,2,2,2,4,1,2,2,3,4,3,1,2,3,2,2,4,1,4,5,5,2,1,0,1,3,1,1,1,3,0.0,1,3,1,5,0,0,5,1,4,1,1,6,1,7,0.0,1,6.43,80.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.175,5.247,3.363,6.372,4.094,5.349,6.331,6.337,4.167,2,3,2.0,1.0,0.0,0,0,0.0,2,2.0,2.0,0.0,144.0,10.0
87,4,5,7,1,3,0,4,3,2,5,5,4,5,4,4,0.23,1.0,4,4,2,1,3,3,4,1815,1,0,0,1.0,0.0,0.0,2,4,0,0,0,0,2,0,2,5,1,64,3,4,2,1,1,1,2,3,3,2,1,1,1,2,2,2,4,1,3,2,2,2,5,1,3,5,5,2,1,0,1,2,1,1,1,3,0.0,1,3,1,5,0,0,5,1,4,1,1,6,1,7,0.0,2,5.19,80.0,1.0,0.0,0.0,0.0,0.0,0.0,2.573,0.575,5.698,4.03,5.494,10.0,5.024,10.0,6.044,10.0,2,4,2.0,1.0,1.0,0,3,0.0,1,4.0,2.0,4.7,9.3,2.0
154,4,5,7,1,3,0,5,5,3,5,3,4,6,1,4,0.72,0.0,4,4,3,1,3,3,4,1455,0,0,0,1.0,0.0,0.0,1,2,3,1,0,1,0,1,1,4,1,192,4,4,2,1,2,1,1,5,2,2,1,1,1,1,3,4,3,1,1,2,5,1,5,1,5,4,5,3,1,0,0,2,1,1,1,1,0.0,1,2,1,5,0,0,5,1,4,1,1,1,1,4,0.0,1,6.43,80.0,0.0,0.0,0.0,0.0,0.0,0.0,3.268,1.8,6.208,1.038,6.328,3.625,5.517,6.067,5.508,3.333,1,5,0.0,1.0,1.0,0,4,0.0,2,2.0,2.0,8.3,204.15,2.0
12,4,5,7,1,3,0,4,5,3,4,6,4,6,5,4,0.66,0.0,0,0,2,1,3,2,4,1357,0,0,0,1.0,0.0,0.0,2,2,3,1,0,2,1,2,3,3,2,128,4,3,1,1,1,1,2,4,2,2,1,1,2,1,3,2,2,2,2,2,5,2,5,1,5,3,5,2,1,0,1,2,1,2,1,2,0.0,1,3,1,5,0,0,5,1,4,1,0,6,1,7,0.0,1,4.16,52.0,1.0,0.0,0.0,0.06349206342857143,0.047619047571428576,0.0,4.625,1.65,3.639,1.827,5.531,10.0,5.983,10.0,5.522,10.0,1,2,2.0,1.0,0.0,0,2,0.0,2,2.0,2.0,9.0,399.0,0.0
141,1,4,6,2,3,2,3,5,3,5,7,4,6,2,4,0.079,0.0,4,4,1,3,2,1,0,1666,2,0,0,1.0,0.0,0.0,0,3,0,2,0,1,5,0,1,1,0,96,3,1,0,0,0,1,5,3,0,2,4,1,1,3,4,3,3,3,5,2,2,2,1,1,0,3,5,1,1,0,0,3,1,1,1,5,0.0,3,3,3,5,0,0,4,6,4,1,0,6,1,7,0.0,0,5.28,60.0,0.5,0.0,0.666666667,0.12698412685714286,0.09523809514285715,0.0,2.618,3.947,5.567,5.514,3.889,4.962,4.327,7.851,4.807,6.25,0,0,2.0,0.0,1.0,3,3,0.0,0,2.0,2.0,3.0,24.0,9.0
31,1,5,7,1,3,0,4,5,3,3,7,6,6,3,4,0.56,0.0,4,4,1,1,3,3,4,1345,2,0,0,1.0,0.0,0.0,2,3,0,3,0,2,2,1,2,2,1,202,3,2,3,1,2,1,2,1,3,2,2,3,1,3,1,4,2,2,3,2,2,2,2,1,4,3,5,1,1,0,0,3,1,1,2,4,0.0,2,3,1,5,0,0,0,1,4,1,0,6,1,7,0.0,0,6.4,68.0,0.0,0.0,0.0,0.19047619028571428,0.14285714271428573,0.0,3.326,1.4,4.885,3.529,5.269,4.019,4.583,6.2,6.028,5.0,3,0,0.0,2.0,0.0,2,1,0.0,1,0.0,1.0,0.0,16.7,1.0
131,2,5,7,1,3,0,4,5,3,5,5,5,5,3,4,0.46,0.0,4,4,3,1,0,3,5,1859,2,0,0,1.0,0.0,0.0,2,2,0,1,0,1,0,1,2,5,1,0,4,4,1,1,1,1,2,4,3,2,1,1,1,2,3,2,4,1,3,2,2,2,5,1,3,5,5,2,1,0,0,3,1,2,1,3,0.0,3,3,1,5,0,0,5,2,4,1,1,6,1,7,0.0,0,3.6,80.33333333333333,0.0,0.0,0.5,0.2539682537142857,0.1904761902857143,0.0,4.837,1.15,3.579,2.045,5.917,3.749,6.018,5.728,5.719,3.333,1,2,2.0,1.0,2.0,0,2,0.0,2,2.0,2.0,10.0,52.7,5.0
519,2,5,7,2,3,1,4,4,3,5,7,3,6,3,4,0.038,0.0,4,4,2,2,2,3,5,1670,0,0,0,1.0,0.0,0.0,2,4,0,0,0,0,0,0,4,4,1,64,4,4,1,3,1,1,1,1,1,1,1,1,1,3,3,3,4,2,4,2,1,3,4,1,4,3,5,1,1,0,0,3,1,1,1,2,0.0,3,3,2,5,0,0,4,6,4,3,0,6,1,7,0.0,0,4.775,92.66666666666667,0.0,0.0,0.666666667,0.31746031714285716,0.23809523785714287,0.0,3.017,3.22,5.865,2.719,5.266,4.585,5.219,7.191,5.468,5.417,2,3,2.0,3.0,0.0,0,1,0.0,2,3.0,2.0,0.0,96.7,4.0
