Actual,Predicted,Model
10.0,11.983484883226854,Ridge
0.662,0.8846019560071681,Ridge
0.2,0.2852383407428527,Ridge
0.521,0.5567896616483483,Ridge
0.603,0.59609230810524,Ridge
5.0,6.005646596435752,Ridge
4.291,4.105116371472615,Ridge
0.554,0.7100168535327218,Ridge
3.985,3.8574487487257185,Ridge
0.678,0.8520241727502378,Ridge
4.086,3.829264389939671,Ridge
4.245,4.127409847048084,Ridge
4.785,4.607375281552801,Ridge
1.384,1.629187809537429,Ridge
3.625,3.3570828911529293,Ridge
1.181,1.4146965921705492,Ridge
1.807,1.867722638692813,Ridge
4.019,3.7626389315611304,Ridge
0.897,1.0241477963304502,Ridge
10.0,14.553772174409424,Ridge
3.927,3.7544939072589196,Ridge
10.0,10.0,DecisionTreeRegressor
0.662,0.975,DecisionTreeRegressor
0.2,10.0,DecisionTreeRegressor
0.521,0.8049999999999999,DecisionTreeRegressor
0.603,0.435,DecisionTreeRegressor
5.0,10.0,DecisionTreeRegressor
4.291,4.4055,DecisionTreeRegressor
0.554,0.5665,DecisionTreeRegressor
3.985,3.9055,DecisionTreeRegressor
0.678,0.6825000000000001,DecisionTreeRegressor
4.086,4.2525,DecisionTreeRegressor
4.245,4.038,DecisionTreeRegressor
4.785,4.402,DecisionTreeRegressor
1.384,1.382,DecisionTreeRegressor
3.625,3.8605,DecisionTreeRegressor
1.181,0.9790000000000001,DecisionTreeRegressor
1.807,1.364,DecisionTreeRegressor
4.019,3.948,DecisionTreeRegressor
0.897,1.382,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.927,3.9055,DecisionTreeRegressor
10.0,1.1983158269420071,GradientBoostingRegressor
0.662,1.1016849290240958,GradientBoostingRegressor
0.2,1.1016849290240958,GradientBoostingRegressor
0.521,1.1016849290240958,GradientBoostingRegressor
0.603,1.1016849290240958,GradientBoostingRegressor
5.0,1.3305786327248528,GradientBoostingRegressor
4.291,1.1983158269420071,GradientBoostingRegressor
0.554,1.1016849290240958,GradientBoostingRegressor
3.985,1.1853235048077833,GradientBoostingRegressor
0.678,1.1016849290240958,GradientBoostingRegressor
4.086,1.1853235048077833,GradientBoostingRegressor
4.245,1.1983158269420071,GradientBoostingRegressor
4.785,1.1983158269420071,GradientBoostingRegressor
1.384,1.1016849290240958,GradientBoostingRegressor
3.625,1.1853235048077833,GradientBoostingRegressor
1.181,1.1016849290240958,GradientBoostingRegressor
1.807,1.1016849290240958,GradientBoostingRegressor
4.019,1.1853235048077833,GradientBoostingRegressor
0.897,1.1016849290240958,GradientBoostingRegressor
10.0,1.1983158269420071,GradientBoostingRegressor
3.927,1.1853235048077833,GradientBoostingRegressor
10.0,10.0,RandomForestRegressor
0.662,0.9313333333333332,RandomForestRegressor
0.2,0.36242857142857143,RandomForestRegressor
0.521,0.625,RandomForestRegressor
0.603,0.838,RandomForestRegressor
5.0,0.5431666666666667,RandomForestRegressor
4.291,4.1218,RandomForestRegressor
0.554,0.7411666666666666,RandomForestRegressor
3.985,3.901666666666667,RandomForestRegressor
0.678,0.687,RandomForestRegressor
4.086,3.901666666666667,RandomForestRegressor
4.245,4.038,RandomForestRegressor
4.785,4.0085999999999995,RandomForestRegressor
1.384,1.382,RandomForestRegressor
3.625,3.602,RandomForestRegressor
1.181,1.978,RandomForestRegressor
1.807,4.794,RandomForestRegressor
4.019,3.901666666666667,RandomForestRegressor
